date,mill_id,scheduled_hours,available_hours,is_maintenance,overload_hours,utilization_pct
2020-01-01,M1,18.57,20.0,False,-1.4299999999999997,92.85
2020-01-01,M2,19.0,20.0,False,-1.0,95.0
2020-01-01,M3,17.0,18.0,False,-1.0,94.44
2020-01-02,M1,18.75,20.0,False,-1.25,93.75
2020-01-02,M2,19.0,20.0,False,-1.0,95.0
2020-01-02,M3,17.0,18.0,False,-1.0,94.44
2020-01-03,M1,12.989999999999998,14.0,False,-1.0100000000000016,92.79
2020-01-03,M2,13.5,14.0,False,-0.5,96.43
2020-01-03,M3,12.100000000000001,12.6,False,-0.4999999999999982,96.03
2020-01-04,M1,13.5,14.0,False,-0.5,96.43
2020-01-04,M2,13.5,14.0,False,-0.5,96.43
2020-01-04,M3,12.1,12.6,False,-0.5,96.03
2020-01-05,M1,18.75,20.0,False,-1.25,93.75
2020-01-05,M3,17.01,18.0,False,-0.9899999999999984,94.5
2020-01-06,M2,19.0,20.0,False,-1.0,95.0
2020-01-06,M3,16.99,18.0,False,-1.0100000000000016,94.39
2020-01-07,M1,18.78,20.0,False,-1.2199999999999989,93.9
2020-01-07,M2,19.0,20.0,False,-1.0,95.0
2020-01-07,M3,17.0,18.0,False,-1.0,94.44
2020-01-08,M1,18.84,20.0,False,-1.1600000000000001,94.2
2020-01-08,M2,19.0,20.0,False,-1.0,95.0
2020-01-08,M3,17.0,18.0,False,-1.0,94.44
2020-01-09,M1,18.6,20.0,False,-1.3999999999999986,93.0
2020-01-09,M2,19.0,20.0,False,-1.0,95.0
2020-01-09,M3,16.99,18.0,False,-1.0100000000000016,94.39
2020-01-10,M1,13.0,14.0,False,-1.0,92.86
2020-01-10,M2,13.5,14.0,False,-0.5,96.43
2020-01-10,M3,12.100000000000001,12.6,False,-0.4999999999999982,96.03
2020-01-11,M1,13.5,14.0,False,-0.5,96.43
2020-01-11,M2,13.5,14.0,False,-0.5,96.43
2020-01-11,M3,12.1,12.6,False,-0.5,96.03
2020-01-12,M1,18.52,20.0,False,-1.4800000000000004,92.6
2020-01-12,M2,18.990000000000002,20.0,False,-1.009999999999998,94.95
2020-01-12,M3,17.0,18.0,False,-1.0,94.44
2020-01-13,M1,19.0,20.0,False,-1.0,95.0
2020-01-13,M2,19.0,20.0,False,-1.0,95.0
2020-01-13,M3,17.0,18.0,False,-1.0,94.44
2020-01-14,M1,19.0,20.0,False,-1.0,95.0
2020-01-14,M2,19.0,20.0,False,-1.0,95.0
2020-01-14,M3,17.0,18.0,False,-1.0,94.44
2020-01-15,M1,18.57,20.0,False,-1.4299999999999997,92.85
2020-01-15,M2,19.0,20.0,False,-1.0,95.0
2020-01-15,M3,17.0,18.0,False,-1.0,94.44
2020-01-16,M1,18.75,20.0,False,-1.25,93.75
2020-01-16,M2,19.0,20.0,False,-1.0,95.0
2020-01-16,M3,17.0,18.0,False,-1.0,94.44
2020-01-17,M1,13.5,14.0,False,-0.5,96.43
2020-01-17,M2,13.5,14.0,False,-0.5,96.43
2020-01-17,M3,12.1,12.6,False,-0.5,96.03
2020-01-18,M1,13.5,14.0,False,-0.5,96.43
2020-01-18,M2,13.5,14.0,False,-0.5,96.43
2020-01-18,M3,12.1,12.6,False,-0.5,96.03
2020-01-19,M1,19.01,20.0,False,-0.9899999999999984,95.05
2020-01-19,M3,17.0,18.0,False,-1.0,94.44
2020-01-20,M1,19.0,20.0,False,-1.0,95.0
2020-01-20,M2,19.0,20.0,False,-1.0,95.0
2020-01-20,M3,17.0,18.0,False,-1.0,94.44
2020-01-21,M1,19.0,20.0,False,-1.0,95.0
2020-01-21,M2,19.0,20.0,False,-1.0,95.0
2020-01-21,M3,16.99,18.0,False,-1.0100000000000016,94.39
2020-01-22,M1,19.0,20.0,False,-1.0,95.0
