date,flour_type,recipe_id,allocation_pct,recipe_required_tons
2020-01-01,Bakery,R2,0.5,40.21
2020-01-01,Bakery,R4,0.5,40.21
2020-01-01,Brown,R3,1.0,26.78
2020-01-01,Patent,R2,0.7,34.461
2020-01-01,Patent,R5,0.3,14.768999999999998
2020-01-01,Superior,R1,0.6,62.454
2020-01-01,Superior,R2,0.4,41.636
2020-01-01,Superior Brown,R3,1.0,9.1
2020-01-02,Bakery,R2,0.5,41.035000000000004
2020-01-02,Bakery,R4,0.5,41.035000000000004
2020-01-02,Brown,R3,1.0,25.47
2020-01-02,Patent,R2,0.7,37.904999999999994
2020-01-02,Patent,R5,0.3,16.244999999999997
2020-01-02,Superior,R1,0.6,60.936
2020-01-02,Superior,R2,0.4,40.624
2020-01-02,Superior Brown,R3,1.0,9.62
2020-01-03,Bakery,R2,0.5,36.214999999999996
2020-01-03,Bakery,R4,0.5,36.214999999999996
2020-01-03,Brown,R3,1.0,24.97
2020-01-03,Patent,R2,0.7,28.279999999999998
2020-01-03,Patent,R5,0.3,12.12
2020-01-03,Superior,R1,0.6,53.99400000000001
2020-01-03,Superior,R2,0.4,35.996
2020-01-03,Superior Brown,R3,1.0,8.64
2020-01-04,Bakery,R2,0.5,36.535
2020-01-04,Bakery,R4,0.5,36.535
2020-01-04,Brown,R3,1.0,23.770000000000003
2020-01-04,Patent,R2,0.7,29.448999999999998
2020-01-04,Patent,R5,0.3,12.621
2020-01-04,Superior,R1,0.6,60.786
2020-01-04,Superior,R2,0.4,40.524
2020-01-04,Superior Brown,R3,1.0,8.65
2020-01-05,Bakery,R2,0.5,41.295
2020-01-05,Bakery,R4,0.5,41.295
2020-01-05,Brown,R3,1.0,28.01
2020-01-05,Patent,R2,0.7,31.955000000000002
2020-01-05,Patent,R5,0.3,13.695000000000002
2020-01-05,Superior,R1,0.6,63.744
2020-01-05,Superior,R2,0.4,42.49600000000001
2020-01-05,Superior Brown,R3,1.0,8.77
2020-01-06,Bakery,R2,0.5,41.135
2020-01-06,Bakery,R4,0.5,41.135
2020-01-06,Brown,R3,1.0,29.86
2020-01-06,Patent,R2,0.7,34.684999999999995
2020-01-06,Patent,R5,0.3,14.864999999999998
2020-01-06,Superior,R1,0.6,59.058
2020-01-06,Superior,R2,0.4,39.37200000000001
2020-01-06,Superior Brown,R3,1.0,10.61
2020-01-07,Bakery,R2,0.5,41.004999999999995
2020-01-07,Bakery,R4,0.5,41.004999999999995
2020-01-07,Brown,R3,1.0,28.9
2020-01-07,Patent,R2,0.7,32.48
2020-01-07,Patent,R5,0.3,13.92
2020-01-07,Superior,R1,0.6,63.983999999999995
2020-01-07,Superior,R2,0.4,42.656000000000006
2020-01-07,Superior Brown,R3,1.0,11.65
2020-01-08,Bakery,R2,0.5,40.205
2020-01-08,Bakery,R4,0.5,40.205
2020-01-08,Brown,R3,1.0,27.92
2020-01-08,Patent,R2,0.7,34.44
2020-01-08,Patent,R5,0.3,14.76
2020-01-08,Superior,R1,0.6,64.26599999999999
2020-01-08,Superior,R2,0.4,42.844
2020-01-08,Superior Brown,R3,1.0,11.02
2020-01-09,Bakery,R2,0.5,39.675
2020-01-09,Bakery,R4,0.5,39.675
2020-01-09,Brown,R3,1.0,26.73
2020-01-09,Patent,R2,0.7,33.032999999999994
2020-01-09,Patent,R5,0.3,14.156999999999998
2020-01-09,Superior,R1,0.6,63.9
2020-01-09,Superior,R2,0.4,42.6
2020-01-09,Superior Brown,R3,1.0,9.53
2020-01-10,Bakery,R2,0.5,36.04
2020-01-10,Bakery,R4,0.5,36.04
2020-01-10,Brown,R3,1.0,24.240000000000002
2020-01-10,Patent,R2,0.7,28.888999999999996
2020-01-10,Patent,R5,0.3,12.380999999999998
2020-01-10,Superior,R1,0.6,53.538000000000004
2020-01-10,Superior,R2,0.4,35.692
2020-01-10,Superior Brown,R3,1.0,8.82
2020-01-11,Bakery,R2,0.5,36.975
2020-01-11,Bakery,R4,0.5,36.975
2020-01-11,Brown,R3,1.0,24.18
2020-01-11,Patent,R2,0.7,30.750999999999998
2020-01-11,Patent,R5,0.3,13.179
2020-01-11,Superior,R1,0.6,58.074
2020-01-11,Superior,R2,0.4,38.71600000000001
2020-01-11,Superior Brown,R3,1.0,9.74
2020-01-12,Bakery,R2,0.5,41.265
2020-01-12,Bakery,R4,0.5,41.265
2020-01-12,Brown,R3,1.0,29.270000000000003
2020-01-12,Patent,R2,0.7,35.833
2020-01-12,Patent,R5,0.3,15.357
2020-01-12,Superior,R1,0.6,60.186
2020-01-12,Superior,R2,0.4,40.124
2020-01-12,Superior Brown,R3,1.0,10.48
2020-01-13,Bakery,R2,0.5,41.24
2020-01-13,Bakery,R4,0.5,41.24
2020-01-13,Brown,R3,1.0,27.23
2020-01-13,Patent,R2,0.7,35.042
2020-01-13,Patent,R5,0.3,15.018
2020-01-13,Superior,R1,0.6,66.756
2020-01-13,Superior,R2,0.4,44.504000000000005
2020-01-13,Superior Brown,R3,1.0,8.51
2020-01-14,Bakery,R2,0.5,37.375
2020-01-14,Bakery,R4,0.5,37.375
2020-01-14,Brown,R3,1.0,28.34
2020-01-14,Patent,R2,0.7,33.67
2020-01-14,Patent,R5,0.3,14.43
2020-01-14,Superior,R1,0.6,61.961999999999996
2020-01-14,Superior,R2,0.4,41.308
2020-01-14,Superior Brown,R3,1.0,10.48
2020-01-15,Bakery,R2,0.5,39.595
2020-01-15,Bakery,R4,0.5,39.595
2020-01-15,Brown,R3,1.0,28.41
2020-01-15,Patent,R2,0.7,31.898999999999997
2020-01-15,Patent,R5,0.3,13.671
2020-01-15,Superior,R1,0.6,64.428
2020-01-15,Superior,R2,0.4,42.952
2020-01-15,Superior Brown,R3,1.0,10.56
2020-01-16,Bakery,R2,0.5,41.15
2020-01-16,Bakery,R4,0.5,41.15
